971:48,184,796
972:
973:53,64,131
974:242,317,548
975:
976:0,68,192
977:13,22,54
978:543,600,88
979:40,81,113
980:13,62,70
981:48,137,148
982:37,53,168
983:33,59,73
984:42,54,64
985:
986:88,115,140
987:
988:
989:9,48,103
990:103,130,441
991:4,53,104
992:
993:
994:465,886,827
995:
996:53,270,386
997:4,48,91
998:
999:82,224,237
